brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.999,5.199
LENOVO,Notebook Lenovo Thinkpad I5 16g Ram 500gb Ssd W11 Original,,,,2.134,213
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",,4.8,(3698),3.999,2.975
ASUS,"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732",Por Asus ,4.8,(843),3.099,2.699
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.9,(1140),4.999,3.379
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(5117),4.165,2.564
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(910),5.831,3.311
ACER,"Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Por Mercado Livre ,4.8,(974),4.285,2.937
ACER,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Por Acer Brasil ,4.8,(1330),7.299,6.399
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro Cor Grafite",Por Eshop ,4.9,(3494),4.030,2.869
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Por Mobcom ,4.9,(357),8.558,2.899
,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Por INPOWER ,4.8,(336),5.639,3.699
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por INPOWER ,4.8,(1215),3.253,2.277
SAMSUNG,"Samsung Galaxy Chromebook Go Intel Celeron N4500, 4gb, 32gb Cor Cinza",,4.7,(16),1.861,1.339
DELL,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Por Dell ,4.8,(1009),3.698,3.302
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",Por Mercado Livre ,4.8,(6369),4.117,2.923
DELL,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,Por Dell ,4.8,(1376),4.399,4.108
,"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Por Positivo ,4.5,(4111),1.649,164
DELL,Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Por Dell ,4.8,(560),3.299,2.997
,Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Por Positivo ,4.6,(2799),1.999,1.527
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Por Vikings ,4.8,(424),4.831,2.727
ACER,Notebook Acer Gamer Nitro V15 Intel Core I7 13ª Ger. 16gb 512ssd Rtx3050 Com 6gb Gddr6 Nvidia Geforce Linux Gutta ANV15-51-73E9,Por Vikings ,4.8,(112),9.998,6.099
ACER,Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,Por Mercado Livre ,4.8,(750),7.398,5.264
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(708),3.331,1.799
ACER,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,Por Acer Brasil ,4.9,(550),10.999,8.599
ACER,Notebook Acer Aspire 5 A515-45-R36L Ryzen 7 15.6 Radeon 512gb 12gb Linux,,4.8,(649),4.356,3.217
ASUS,Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,Por Mercado Livre ,4.9,(158),6.499,5.665
ACER,Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD,Por Acer Brasil ,4.9,(153),3.599,3.099
ASUS,"Notebook ASUS Vivobook 15 Core I5 1235U 3.3 GHz 8GB Ram 256GB SSD W11 Home Tela 15,6” NanoEdge Full HD Cool Silver X1504ZA-NJ985W",Por Mercado Livre ,4.8,(172),3.199,2.941
ASUS,"Notebook Asus Vivobook Go 15 E510ka Intel Celeron Dual Core N4500 4gb Ram 128gb Emmc Windows 11 Home 15,60 Hd Rosa - Br833ws",Por Asus ,4.6,(286),2.099,1.742
,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link – Cinza,Por Positivo ,4.6,(3691),1.799,1.408
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,(2658),8.165,4.679
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,5.0,(25),3.137,2.429
LENOVO,Lenovo Thinkpad P16 Intel Core Ultra 7 16gb Rtx 500 512gb W11 Pro,Por Lenovo ,,,10.799,1.037
ACER,Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Por Vikings ,4.9,(102),10.498,6.299
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",,4.5,(156),1.899,1.449
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 16gb RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' - 82vy000xbr - Cloudgrey",Por Lenovo ,4.8,(4604),3.249,312
ACER,Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Por Acer Brasil ,4.8,(161),3.599,3.099
ASUS,"Notebook ASUS Vivobook Go 15 E1504FA-NJ836W AMD Ryzen 5 7520U 2,8 GHz 8GB 512GB SSD Windows 11 Home 15,6"" Full Hd Preto",Por Login ,4.8,(344),3.599,2.990
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6 82x5000abr AMD Ryzen 3,Por Lenovo ,4.8,(510),2.379,228
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Por Lenovo ,4.8,(510),2.469,237
DELL,Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11,Por Dell ,4.8,(1019),3.199,3.039
ASUS,"Notebook ASUS Vivobook 15 X1504ZA Intel Core i5 1235U 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Blue - NJ987W",Por Asus ,4.9,(378),3.699,2.895
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i5-1235U 8GB 512GB SSD Windows 11 Home 14"" 83AF000EBR",Por Lenovo ,4.8,(4604),2.894,278
ACER,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Por Acer Brasil ,4.8,(980),7.299,5.449
ASUS,Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,Por Mercado Livre ,4.8,(100),5.199,519
,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Por Positivo ,4.5,(245),2.099,1.499
ASUS,"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",Por Asus ,4.8,(183),3.399,2.855
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Por Lenovo ,4.8,(4604),2.084,200
DELL,Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2,,4.3,(109),2.999,288
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.699
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(708),3.331,1.799
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.656,4.999
ACER,"Notebook Aspire 5 A515-57-58w1 I5 Linux 8gb 256gb 15,6' Fhd",Por Acer Brasil ,4.8,(43),3.799,2.699
,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link – Cinza,Por Positivo ,4.6,(3691),1.799,1.408
ACER,Notebook Gamer Predator Helios Neo / Phn16-72-74vx / Intel® Core I7-14700hx De 14ªgeração / 16gb / 512ssd / Windows 11 Home / Nvidia Geforce Rtx 4070 Gddr6 / Tela 16,Por Acer Brasil ,4.8,(48),12.999,10.599
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,5.0,(25),3.137,2.429
LENOVO,Lenovo Thinkpad P16 Intel Core Ultra 7 16gb Rtx 500 512gb W11 Pro,Por Lenovo ,,,10.799,1.037
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Windows 11 Home 15.6"" 82VY000UBR Com 2 Anos Premium Care",Por Carrefour ,4.7,(36),2.999,2.599
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,(2658),8.165,4.679
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.999,5.199
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",,4.5,(156),1.899,1.449
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 16gb RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' - 82vy000xbr - Cloudgrey",Por Lenovo ,4.8,(4604),3.249,312
ACER,Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Por Acer Brasil ,4.8,(161),3.599,3.099
ASUS,"Notebook ASUS Vivobook Go 15 E1504FA-NJ836W AMD Ryzen 5 7520U 2,8 GHz 8GB 512GB SSD Windows 11 Home 15,6"" Full Hd Preto",Por Login ,4.8,(344),3.599,2.990
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6 82x5000abr AMD Ryzen 3,Por Lenovo ,4.8,(510),2.379,228
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Por Lenovo ,4.8,(510),2.469,237
ASUS,"Notebook ASUS Vivobook 15 X1504ZA Intel Core i5 1235U 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Blue - NJ987W",Por Asus ,4.9,(378),3.699,2.895
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i5-1235U 8GB 512GB SSD Windows 11 Home 14"" 83AF000EBR",Por Lenovo ,4.8,(4604),2.894,278
,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Por Positivo ,4.5,(245),2.099,1.499
LENOVO,"Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11",Por 2Eletro ,5.0,(8),3.999,3.199
ASUS,"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",Por Asus ,4.8,(183),3.399,2.855
LENOVO,"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",,4.7,(209),3.884,388
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Por Lenovo ,4.8,(4604),2.084,200
ASUS,"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",Por Mercado Livre ,5.0,(11),6.499,649
DELL,Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2,,4.3,(109),2.999,288
ASUS,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Asus ,4.8,(512),2.540,254
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por Lenovo ,4.8,(4604),3.499,2.549
ACER,Notebook Acer Aspire 3 A315-510p-34xc Intel Core I3 8gb,Por Carrefour ,,,3.299,2.699
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.,Por Grand Commerce ,,,4.499,2.949
ACER,Notebook Acer Aspire 54e6 Ci5 13ªg 8gb 512ssd W11 Home 15.6,Por Acer Brasil ,5.0,(7),3.599,3.299
ACER,"Notebook Acer TravelMate TMP214-55-54ZZ Intel® Core™ i5 – 1335U de 13ªGen 16GB 512GB SSD W11 Pro 14""",Por Acer Brasil ,,,7.999,799
,"Notebook Presario CQ-25 14.1"" gray 4GB de Ram - 120GB SSD - Intel Pentium",,4.1,(34),1.099,
ACER,"Notebook Acer A515-57-55b8 Aspire 5 I5-12450h 8gb 256gb 15,6",,5.0,(4),3.999,3.034
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i7-1255U 16GB 512GB SSD Windows 11 Home 15.6"" 82VY000NBR",Por Lenovo ,4.8,(4604),4.034,387
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.7,(70),3.599,2.499
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,Por Lenovo ,4.8,(510),2.719,261
ASUS,"Notebook ASUS TUF Gaming A15 FA506NCR NVIDIA RTX 3050 AMD Ryzen 7 7435HS 8Gb Ram 512Gb SSD Linux KeepOS Tela 15,6"" FHD Nível IPS 144Hz Black - HN089",Por Asus ,5.0,(4),6.899,5.312
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 3 7320U 4gb 256gb SSD Linux 15.6 HD 82x5s00600,Por Lenovo ,4.7,(205),1.939,186
LENOVO,Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo Cor Prateado,Por 123 Comprou ,4.6,(2369),3.665,2.199
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 32gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.7,(15),4.299,3.299
,"Notebook Chromebook Clamshell, 14, 32gb/4gb - Pc918a Cor Preto",Por Loja Multi ,4.7,(14),1.399,140
SAMSUNG,"Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4GB RAM 128GB SSD 14"" Full HD W11 com Office 365 NP340XLA-K07BR",,4.7,(745),2.065,206
,Notebook Vaio Fe 16 Amd Ryzen 7 - 5700u Linux 32gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0911h,Por Vaio ,5.0,(7),4.759,3.889
,"MacBook Air 13-inch 13"" midnight 8GB de Ram - 256GB SSD - Apple Chip M3",,4.8,(55),8.889,889
,"Notebook Positivo Vision i15 Lumina Bar i3-N300, 8GB 512GB SSD, Tela 15 polegadas Full HD Antirreflexo Linux - Cinza",Por Positivo ,4.6,(282),2.699,2.298
ACER,Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,Por Acer Brasil ,4.8,(315),5.299,529
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo ,4.6,(12),4.099,2.992
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",Por Samsung ,4.9,(199),4.899,4.464
LENOVO,Notebook Lenovo Ideapad 1 R3-7320U 4GB de RAM 256GB SSD W11 Home 15.6 82x5000ebr,Por Lenovo ,4.8,(510),2.114,203
ASUS,"Notebook Asus Vivobook Go E1504ga Intel Core I3 N305 8gb Ram 512gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj438",Por Asus ,4.9,(72),2.799,2.499
LENOVO,Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,Por Lenovo ,4.8,(4604),2.809,269
,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo, W11 - Ci",Por Mega Mamute ,4.8,(102),3.629,2.399
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.699
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(708),3.331,1.799
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.999,5.199
LENOVO,Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,Por Lenovo ,4.8,(4604),2.809,269
,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo, W11 - Ci",Por Mega Mamute ,4.8,(102),3.629,2.399
,"Notebook VAIO FE15, Intel® Core i5 11th, 8GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Linux - Cinza Grafite, VJFE55F11XB0221H",,5.0,(2),3.509,3.199
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",Por Asus ,4.7,(78),3.311,3.089
LENOVO,Notebook Lenovo Ideapad 1 15iau7 Intel Core I5-1235u 8gb,Por Carrefour ,5.0,(5),3.699,3.089
ACER,Notebook Acer Aspire 56kr Intel Ci5 13ªg 16gb 512ssd 15.6,Por Acer Brasil ,4.8,(11),3.599,3.299
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,(2658),8.165,4.679
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.656,4.999
DELL,"Notebook Latitude 5490 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",,4.1,(71),2.999,299
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core i5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Miranda ,4.9,(2028),5.158,495
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",Por Asus ,4.8,(44),3.299,2.738
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,Por Asus ,4.9,(11),4.634,463
LENOVO,Notebook Lenovo T14 I5 16gb 256gb Ssd Tela 14  Fhd,,4.6,(13),2.190,219
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro",Por Eshop ,5.0,(2),3.999,2.970
,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Por Positivo ,4.8,(12),3.937,2.679
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj986w",Por Asus ,4.9,(177),3.039,292
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,Por HP ,5.0,(6),3.099,297
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507VU RTX4050 Core i7 13620H 8Gb Ram 512Gb SSD Linux 15,6"" FHD 144Hz Gray LP151",,5.0,(61),8.910,891
ASUS,Notebook Gamer Asus Tuf F15 Core I7 8gb 512ssd Linux Rtx3050 Cor Cinza,,4.5,(61),5.661,566
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Por Micro Livre ,4.8,(71),1.719,171
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb741w,Por Asus ,4.6,(9),4.415,3.929
ASUS,"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Por Asus ,4.2,(19),2.099,1.658
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Linux Keepos Tela 16 Ips Fhd Silver - Mb742,Por Asus ,4.9,(19),3.863,3.322
ACER,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",,4.8,(202),3.410,2.501
,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Cinza-espacial",,4.9,(1082),5.723,572
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,,4.6,(154),1.399,135
ASUS,"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",,4.7,(331),1.775,170
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1287",Por Asus ,4.5,(42),2.599,2.027
,Notebook Positivo Master N1250 Pentium N5030 4gb 128gb W11 Cor Cinza,,4.6,(574),1.987,198
,"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",Por Gigantec ,4.6,(387),1.621,155
LENOVO,"Lenovo Thinkpad T490 14,0 Fhd (1920 x 1080) 250 nits Ips Anti",,,,2.243,224
ASUS,"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 7730u 16gb Ram 512gb Ssd Linux Keepos 15,6 Fhd Cool Silver - Nj495",Por Asus ,5.0,(4),4.499,4.004
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 16gb 512gb Ssd W11 14 ,Por Lenovo ,5.0,(2),4.199,419
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U, 12GB RAM, 512GB SSD, Linux, Tela 15,6"" HD 82VYS01000",Por Lenovo ,4.8,(4604),3.419,328
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.699
